Area,Room,Price
63,1,1850000000.0
60,1,1850000000.0
59,1,2150000000.0
54,2,493000000.0
68,2,2450000000.0
64,1,2100000000.0
54,1,1690000000.0
63,1,570000000.0
64,2,1450000000.0
42,1,1390000000.0
65,1,1880000000.0
49,1,2200000000.0
67,2,2350000000.0
68,2,2500000000.0
62,1,2150000000.0
55,1,2150000000.0
58,1,3400000000.0
55,1,3850000000.0
51,1,2980000000.0
60,1,2460000000.0
62,2,1450000000.0
61,1,2030000000.0
61,1,2030000000.0
67,2,2800000000.0
63,1,2200000000.0
60,1,2450000000.0
53,1,1920000000.0
63,1,2150000000.0
42,1,1760000000.0
63,1,2150000000.0
42,1,1760000000.0
60,2,2000000000.0
40,1,1300000000.0
65,2,2270000000.0
67,1,2300000000.0
40,0,248000000.0
68,2,430000000.0
48,1,850000000.0
66,2,1725000000.0
44,1,1050000000.0
50,1,340000000.0
40,0,165000000.0
66,2,1000000000.0
63,2,2000000000.0
65,2,2500000000.0
63,2,3000000000.0
65,1,1750000000.0
67,2,2750000000.0
60,1,1750000000.0
44,1,350000000.0
68,1,4115000000.0
55,1,1550000000.0
65,1,3000000000.0
48,1,1920000000.0
58,1,1850000000.0
58,2,2200000000.0
58,1,2810000000.0
62,1,1850000000.0
65,1,1930000000.0
43,1,1620000000.0
53,1,1920000000.0
55,1,1850000000.0
63,1,2200000000.0
64,2,2200000000.0
60,1,1950000000.0
65,1,2000000000.0
60,1,2280000000.0
63,2,2000000000.0
62,1,2280000000.0
65,1,2900000000.0
59,2,1900000000.0
63,2,2000000000.0
60,2,2200000000.0
60,1,2200000000.0
65,1,2000000000.0
60,1,2250000000.0
60,1,2250000000.0
55,1,2490000000.0
55,1,2020000000.0
55,1,1550000000.0
67,1,3400000000.0
66,2,1585000000.0
65,1,3900000000.0
60,1,875000000.0
68,1,2630000000.0
49,1,2200000000.0
55,1,2200000000.0
53,1,1640000000.0
51,1,1550000000.0
54,1,2130000000.0
64,1,3700000000.0
48,1,980000000.0
62,1,2580000000.0
66,1,1850000000.0
44,1,880000000.0
57,1,1270000000.0
61,1,1990000000.0
